idx,cdacordao,classe,rank_bm25,rank_dense,rank_hyde,rank_hybrid,rank_basehyb
243,1859322,Embargos de Declaração Criminal / Monitoração Eletrônica - Medida Cautelar,1.0,,1.0,1.0,3.0
244,1859326,Agravo Interno Cível / Alienação Fiduciária,1.0,5.0,1.0,1.0,1.0
245,1859342,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,2.0,,3.0,1.0,4.0
246,1859373,Agravo de Instrumento / Obrigação de Fazer / Não Fazer,1.0,,1.0,1.0,2.0
247,1859382,Agravo de Instrumento / Bem de Família (Voluntário),1.0,,1.0,1.0,3.0
248,1859404,Embargos de Declaração Criminal / Livramento condicional,1.0,,1.0,1.0,3.0
249,1859407,Apelação Cível / Acidente de Trânsito,1.0,1.0,1.0,1.0,1.0
250,1859418,Agravo de Instrumento / Fato Atípico,1.0,1.0,1.0,1.0,1.0
251,1859442,Apelação Criminal / Crimes contra as Relações de Consumo,1.0,2.0,1.0,1.0,1.0
252,1859519,Apelação Cível / Contratos Bancários,3.0,,4.0,1.0,6.0
253,1859636,Apelação Criminal / Tráfico de Drogas e Condutas Afins,2.0,,4.0,1.0,4.0
254,1858844,Apelação Cível / Dívida Ativa,,1.0,,,6.0
255,1858335,Apelação Criminal / Furto Qualificado,,,1.0,1.0,
256,1858345,Embargos de Declaração Criminal / Restituição de Coisas Apreendidas,1.0,,1.0,1.0,4.0
257,1858370,Apelação Criminal / Tráfico de Drogas e Condutas Afins,,,1.0,1.0,
258,1858389,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,1.0,,1.0,1.0,4.0
259,1858399,Embargos de Declaração Criminal / Tráfico de Drogas e Condutas Afins,1.0,,8.0,3.0,4.0
260,1858586,Recurso em Sentido Estrito / Homicídio Qualificado,1.0,,1.0,1.0,3.0
261,1857994,Agravo de Instrumento / Inventário e Partilha,1.0,1.0,,2.0,1.0
262,1858041,Embargos de Declaração Cível / Penhora / Depósito/ Avaliação,1.0,8.0,1.0,1.0,2.0
263,1858046,Apelação Cível / Perdas e Danos,1.0,1.0,1.0,1.0,1.0
264,1858111,Revisão Criminal / Uso de documento falso,1.0,6.0,1.0,1.0,2.0
265,1858135,"Embargos de Declaração Cível / Defeito, nulidade ou anulação",3.0,4.0,3.0,1.0,1.0
266,1858140,Embargos de Declaração Cível / Usucapião Extraordinária,1.0,1.0,,2.0,1.0
267,1858174,"Apelação Cível / Defeito, nulidade ou anulação",1.0,4.0,6.0,1.0,1.0
268,1858185,Apelação Cível / Dívida Ativa,8.0,,,,
269,1858191,Apelação Cível / Dívida Ativa,7.0,,,,
270,1858192,Apelação Cível / Dívida Ativa,,,,,
271,1858193,Apelação Cível / Dívida Ativa,,,,,
272,1858197,Apelação Cível / Dívida Ativa,,,,,
273,1857073,Recurso em Sentido Estrito / Indisponibilidade / Seqüestro de Bens,1.0,,,2.0,2.0
274,1857146,Apelação Criminal / Tráfico de Drogas e Condutas Afins,1.0,1.0,,2.0,1.0
275,1857293,Apelação Cível / Dívida Ativa,,,,,
276,1857294,Apelação Cível / Dívida Ativa,,,,,
277,1857306,Apelação Cível / Dívida Ativa,,,,,
278,1857319,Apelação Cível / Dívida Ativa,,,,,
279,1857320,Apelação Cível / Dívida Ativa,,,,,
280,1857335,Apelação Cível / Dívida Ativa,,,,,
281,1857350,Apelação Cível / Dívida Ativa,,,,,
282,1857365,Apelação Cível / Dívida Ativa,,,,,
283,1857366,Apelação Cível / Dívida Ativa,,,,,
284,1857379,Apelação Cível / Dívida Ativa,,,,,
285,1857380,Apelação Cível / Dívida Ativa,,,,,
286,1857401,Apelação Cível / Dívida Ativa,,,,,
287,1857402,Apelação Cível / Dívida Ativa,,,,,
288,1857403,Embargos de Declaração Criminal / Contagem de Prazo para os Benefícios,1.0,,1.0,1.0,2.0
289,1857409,Apelação Cível / Dívida Ativa,,,,,
290,1857410,Apelação Cível / Dívida Ativa,,,,,
291,1857421,Apelação Cível / Dívida Ativa,,,,,
292,1857422,Apelação Cível / Dívida Ativa,,,,,
293,1857432,Apelação Cível / Dívida Ativa,,,,,
294,1857433,Apelação Cível / Dívida Ativa,,,,,
